date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
1-Oct-03,134.91,628.14,29.39,0.93,1018.22,15.5,15.42459773,46,14.96034339,16.50551238,6.166666459
8-Oct-03,142.71,651.68,29.81,0.89,1033.78,15.92000008,16.73293887,47.65000153,15.3952121,17.26583994,7.067036946
15-Oct-03,145.54,665.11,31.77,0.91,1046.76,15.93500018,17.20888928,47.68999863,16.25667254,17.65487154,7.20694422
22-Oct-03,141.31,648.12,29.92,0.94,1030.36,15.51499963,16.79671848,45.86999893,16.35481673,16.96860591,6.827685264
29-Oct-03,144.85,665.6,28.91,0.94,1048.11,15.82999992,17.7489452,45.40999985,15.72186247,17.57785319,7.52212969
5-Nov-03,145.38,676.05,30.3,0.94,1051.81,15.74000049,18.4273994,44.86999893,15.74056379,18.06229559,7.28750022
12-Nov-03,141.1,682.17,31.33,0.93,1058.56,16.85499978,18.42181696,46.02999878,16.51280594,18.00317683,6.646490826
19-Nov-03,137.64,654.92,32.92,0.93,1042.44,16.33000016,17.27815835,45.40999985,16.36843105,17.07206311,6.498518626
26-Nov-03,139.07,673.93,30.41,0.92,1058.45,16.72999954,18.10622248,47.93000031,16.7721321,17.54172527,6.530185024
3-Dec-03,142.51,679.43,31.1,0.92,1064.73,16.71500016,18.54072324,49.09999847,17.691491,17.25270247,6.518888827
10-Dec-03,135.98,658.54,31.88,0.91,1059.05,16.79499984,16.74684834,50.86999893,17.05040729,16.03749196,6.494351855
17-Dec-03,137.38,667.91,33.35,0.88,1076.48,16.89000034,16.23563527,51.75,17.07434573,15.9997219,7.101759116
24-Dec-03,142.43,688.3,32.86,0.88,1094.04,17.32500053,17.00089646,51.84999847,17.24739542,16.51306639,6.939722132
31-Dec-03,147.11,697.3,32.52,0.93,1111.92,17.36500001,17.81212005,52.83000183,17.37157258,16.4661005,6.824259228
7-Jan-04,156.31,720.06,33.62,0.89,1126.33,17.58999968,19.04407443,52.77000046,19.06990577,17.36929698,7.424536758
14-Jan-04,164.9,730.03,34.5,0.86,1130.52,18.20000005,19.24132113,54.70999908,19.92692664,18.26428302,7.117222283
21-Jan-04,170.71,748.82,34.58,0.87,1147.62,18.91499972,20.01681699,52.29000092,19.85012742,19.81121264,7.170925979
28-Jan-04,164.59,729.07,33.62,0.92,1128.48,18.38500023,17.99364281,49.58000183,19.16194192,18.843971,7.132129589
4-Feb-04,160.69,720.75,33.1,0.92,1126.52,18.18499994,17.53495143,48.61999893,17.53140672,17.8488125,6.833703602
11-Feb-04,167.27,750.13,34,0.91,1157.76,19.12499952,18.55840095,51.56999969,19.15194296,18.81441178,7.056666807
